id,source,predicate,target,datasets,datasett,typelink,datasetspld,datasettpld
22960527,http://aemet.linkeddata.es/resource/WeatherStation/id08399,http://aemet.linkeddata.es/ontology/locatedIn,http://geo.linkeddata.es/resource/Municipio/Roda%20de%20Andaluc%C3%ADa,http://aemet.linkeddata.es/data/resource/WeatherStation/id08399,NULL,r,http://aemet.linkeddata.es,http://geo.linkeddata.es/
22960534,http://aemet.linkeddata.es/resource/WeatherStation/id08165,http://aemet.linkeddata.es/ontology/locatedIn,http://geo.linkeddata.es/resource/Municipio/Bujaraloz,http://aemet.linkeddata.es/data/resource/WeatherStation/id08165,NULL,r,http://aemet.linkeddata.es,http://geo.linkeddata.es/
22960535,http://aemet.linkeddata.es/resource/WeatherStation/id08165,http://aemet.linkeddata.es/ontology/locatedIn,http://dbpedia.org/resource/Bujaraloz,http://aemet.linkeddata.es/data/resource/WeatherStation/id08165,NULL,r,http://aemet.linkeddata.es,http://dbpedia.org
22960529,http://aemet.linkeddata.es/resource/WeatherStation/id08277,http://aemet.linkeddata.es/ontology/locatedIn,http://dbpedia.org/resource/Taranc%C3%B3n,http://aemet.linkeddata.es/data/resource/WeatherStation/id08277,NULL,r,http://aemet.linkeddata.es,http://dbpedia.org
22960530,http://aemet.linkeddata.es/resource/WeatherStation/id08277,http://aemet.linkeddata.es/ontology/locatedIn,http://geo.linkeddata.es/resource/Municipio/Taranc%C3%B3n,http://aemet.linkeddata.es/data/resource/WeatherStation/id08277,NULL,r,http://aemet.linkeddata.es,http://geo.linkeddata.es/
22960528,http://aemet.linkeddata.es/resource/WeatherStation/id08356,http://aemet.linkeddata.es/ontology/locatedIn,http://geo.linkeddata.es/resource/Municipio/Yecla,http://aemet.linkeddata.es/data/resource/WeatherStation/id08356,NULL,r,http://aemet.linkeddata.es,http://geo.linkeddata.es/
22960525,http://aemet.linkeddata.es/resource/WeatherStation/id08166,http://aemet.linkeddata.es/ontology/locatedIn,http://dbpedia.org/resource/Calanda%2C_Spain,http://aemet.linkeddata.es/data/resource/WeatherStation/id08166,NULL,r,http://aemet.linkeddata.es,http://dbpedia.org
22960526,http://aemet.linkeddata.es/resource/WeatherStation/id08166,http://aemet.linkeddata.es/ontology/locatedIn,http://geo.linkeddata.es/resource/Municipio/Calanda,http://aemet.linkeddata.es/data/resource/WeatherStation/id08166,NULL,r,http://aemet.linkeddata.es,http://geo.linkeddata.es/
22960554,http://aemet.linkeddata.es/resource/WeatherStation/id08256,http://aemet.linkeddata.es/ontology/locatedIn,http://geo.linkeddata.es/resource/Municipio/San%20Clemente,http://aemet.linkeddata.es/data/resource/WeatherStation/id08256,NULL,r,http://aemet.linkeddata.es,http://geo.linkeddata.es/
22960531,http://aemet.linkeddata.es/resource/WeatherStation/id08351,http://aemet.linkeddata.es/ontology/locatedIn,http://geo.linkeddata.es/resource/Municipio/Valdepe%C3%B1as,http://aemet.linkeddata.es/data/resource/WeatherStation/id08351,NULL,r,http://aemet.linkeddata.es,http://geo.linkeddata.es/
22960532,http://aemet.linkeddata.es/resource/WeatherStation/id08351,http://aemet.linkeddata.es/ontology/locatedIn,http://dbpedia.org/resource/Valdepe%C3%B1as,http://aemet.linkeddata.es/data/resource/WeatherStation/id08351,NULL,r,http://aemet.linkeddata.es,http://dbpedia.org
22993702,http://aemet.linkeddata.es/resource/WeatherStation/id08141,http://aemet.linkeddata.es/ontology/locatedIn,http://geo.linkeddata.es/resource/Municipio/Valladolid,http://aemet.linkeddata.es/data/resource/WeatherStation/id08141,NULL,r,http://aemet.linkeddata.es,http://geo.linkeddata.es/
22993703,http://aemet.linkeddata.es/resource/WeatherStation/id08141,http://aemet.linkeddata.es/ontology/locatedIn,http://dbpedia.org/resource/Valladolid,http://aemet.linkeddata.es/data/resource/WeatherStation/id08141,NULL,r,http://aemet.linkeddata.es,http://dbpedia.org
22993704,http://aemet.linkeddata.es/resource/WeatherStation/id08141,http://aemet.linkeddata.es/ontology/locatedIn,http://geo.linkeddata.es/resource/Provincia/Valladolid,http://aemet.linkeddata.es/data/resource/WeatherStation/id08141,NULL,r,http://aemet.linkeddata.es,http://geo.linkeddata.es/
22993651,http://aemet.linkeddata.es/resource/WeatherStation/id08001,http://aemet.linkeddata.es/ontology/locatedIn,http://dbpedia.org/resource/A_Coru%C3%B1a,http://aemet.linkeddata.es/data/resource/WeatherStation/id08001,NULL,r,http://aemet.linkeddata.es,http://dbpedia.org
22993652,http://aemet.linkeddata.es/resource/WeatherStation/id08001,http://aemet.linkeddata.es/ontology/locatedIn,http://geo.linkeddata.es/resource/Provincia/A%20Coru%C3%B1a,http://aemet.linkeddata.es/data/resource/WeatherStation/id08001,NULL,r,http://aemet.linkeddata.es,http://geo.linkeddata.es/
