id,source,predicate,target,datasets,datasett,typelink,datasetspld,datasettpld
21572249,http://data.semanticweb.org/conference/iswc/2010/paper/521,http://swrc.ontoware.org/ontology#link_open_access,http://iswc2010.semanticweb.org/pdf/521.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://iswc2010.semanticweb.org/
21572250,http://data.semanticweb.org/conference/iswc/2010/paper/521,http://swrc.ontoware.org/ontology#link_publisher,http://ceur-ws.org/Vol-658/paper521.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://ceur-ws.org/
21572251,http://data.semanticweb.org/conference/iswc/2010/paper/521,http://swrc.ontoware.org/ontology#url,http://ceur-ws.org/Vol-658/paper521.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://ceur-ws.org/
21572252,http://data.semanticweb.org/conference/iswc/2010/paper/521,http://swrc.ontoware.org/ontology#url,http://iswc2010.semanticweb.org/pdf/521.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://iswc2010.semanticweb.org/
21572892,http://data.semanticweb.org/person/enrico-franconi,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Italy,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21572995,http://data.semanticweb.org/person/jianfeng-du,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/People%27s_Republic_of_China,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21573001,http://data.semanticweb.org/person/jing-mei,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/People%27s_Republic_of_China,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21573189,http://data.semanticweb.org/person/martin-junghans,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Germany,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21573284,http://data.semanticweb.org/person/nicola-fanizzi,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Italy,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21573353,http://data.semanticweb.org/person/paul-andre,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/France,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
