id,source,predicate,target,datasets,datasett,typelink,datasetspld,datasettpld
20719680,http://reegle.info/countries/MY,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Malaysia,http://reegle.info/countries/MY.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20719681,http://reegle.info/countries/MY,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Malaysia,http://reegle.info/countries/MY.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20725221,http://reegle.info/countries/TL,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Timor-2DLeste,http://reegle.info/countries/TL.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20725223,http://reegle.info/countries/TL,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/East_Timor,http://reegle.info/countries/TL.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20726365,http://reegle.info/countries/TH,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Thailand,http://reegle.info/countries/TH.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20726366,http://reegle.info/countries/TH,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Thailand,http://reegle.info/countries/TH.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20729588,http://reegle.info/countries/VN,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Vietnam,http://reegle.info/countries/VN.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20729591,http://reegle.info/countries/VN,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Vietnam,http://reegle.info/countries/VN.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20732911,http://reegle.info/countries/KI,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Kiribati,http://reegle.info/countries/KI.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20732912,http://reegle.info/countries/KI,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Kiribati,http://reegle.info/countries/KI.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20745178,http://reegle.info/countries/AO,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Angola,http://reegle.info/countries/AO.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20745179,http://reegle.info/countries/AO,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Angola,http://reegle.info/countries/AO.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20747320,http://reegle.info/countries/WS,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Samoa,http://reegle.info/countries/WS.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20747321,http://reegle.info/countries/WS,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Samoa,http://reegle.info/countries/WS.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20754317,http://reegle.info/countries/PG,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Papua_New_Guinea,http://reegle.info/countries/PG.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20754319,http://reegle.info/countries/PG,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Papua_New_Guinea,http://reegle.info/countries/PG.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20760869,http://reegle.info/countries/SV,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/El_Salvador,http://reegle.info/countries/SV.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20760870,http://reegle.info/countries/SV,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/El_Salvador,http://reegle.info/countries/SV.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20764167,http://reegle.info/countries/NR,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Nauru,http://reegle.info/countries/NR.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20764170,http://reegle.info/countries/NR,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Nauru,http://reegle.info/countries/NR.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20775520,http://reegle.info/countries/LC,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Saint_Lucia,http://reegle.info/countries/LC.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20775521,http://reegle.info/countries/LC,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/St._Lucia,http://reegle.info/countries/LC.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20775522,http://reegle.info/countries/LC,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Saint_Lucia,http://reegle.info/countries/LC.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20786602,http://reegle.info/countries/PW,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Palau,http://reegle.info/countries/PW.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20786603,http://reegle.info/countries/PW,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Palau,http://reegle.info/countries/PW.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20790504,http://reegle.info/countries/PH,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Philippines,http://reegle.info/countries/PH.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20790507,http://reegle.info/countries/PH,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Philippines,http://reegle.info/countries/PH.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20793137,http://reegle.info/countries/MQ,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Martinique,http://reegle.info/countries/MQ.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20793138,http://reegle.info/countries/MQ,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Martinique,http://reegle.info/countries/MQ.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20798330,http://reegle.info/countries/BS,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Bahamas,http://reegle.info/countries/BS.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20798331,http://reegle.info/countries/BS,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/The_Bahamas,http://reegle.info/countries/BS.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20798332,http://reegle.info/countries/BS,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/The_Bahamas,http://reegle.info/countries/BS.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20802405,http://reegle.info/countries/NA,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Namibia,http://reegle.info/countries/NA.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20802407,http://reegle.info/countries/NA,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Namibia,http://reegle.info/countries/NA.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20803484,http://reegle.info/countries/IN,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/India,http://reegle.info/countries/IN.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20803486,http://reegle.info/countries/IN,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/India,http://reegle.info/countries/IN.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20813345,http://reegle.info/countries/SG,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Singapore,http://reegle.info/countries/SG.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20813347,http://reegle.info/countries/SG,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Singapore,http://reegle.info/countries/SG.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20817528,http://reegle.info/countries/FM,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Federated_States_of_Micronesia,http://reegle.info/countries/FM.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20817530,http://reegle.info/countries/FM,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Federated_States_of_Micronesia,http://reegle.info/countries/FM.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20823261,http://reegle.info/countries/TC,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Turks_and_Caicos_Islands,http://reegle.info/countries/TC.rdf,NULL,i,http://reegle.info,http://dbpedia.org
20823263,http://reegle.info/countries/TC,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Turks_-26_Caicos_Islands,http://reegle.info/countries/TC.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20823265,http://reegle.info/countries/TC,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Turks_and_Caicos_Islands,http://reegle.info/countries/TC.rdf,NULL,i,http://reegle.info,http://en.openei.org/
20864593,http://reegle.info/countries/MZ,http://www.w3.org/2002/07/owl#sameAs,http://en.openei.org/lod/resource/wiki/Mozambique,http://reegle.info/countries/MZ.rdf,NULL,i,http://reegle.info,http://en.openei.org/
