entity	typeentity	diffentropy
http://data.semanticweb.org/conference/iswc/2010/paper/521	null	0.0	
http://data.semanticweb.org/person/enrico-franconi	null	0.0	
http://data.semanticweb.org/person/jianfeng-du	null	0.0	
http://data.semanticweb.org/person/jing-mei	null	0.0	
http://data.semanticweb.org/person/martin-junghans	null	0.0	
http://data.semanticweb.org/person/nicola-fanizzi	null	0.0	
http://data.semanticweb.org/person/paul-andre	null	0.0	
http://data.semanticweb.org/person/stefan-gradmann	null	0.0	
http://data.semanticweb.org/conference/iswc/2010/paper/387	null	0.0	
http://data.semanticweb.org/conference/iswc/2010/paper/514	null	0.0	
http://data.semanticweb.org/person/anni-yasmin-turhan	null	0.0	
http://data.semanticweb.org/conference/iswc/2010/paper/465	null	0.0	
http://data.semanticweb.org/person/andreas-filler	null	0.0	
http://data.semanticweb.org/person/benjamin-grosof	null	0.0	
http://data.semanticweb.org/person/cassia-trojahn	null	0.0	
http://data.semanticweb.org/person/finn-bacall	null	0.0	
http://data.semanticweb.org/person/jing-he	null	0.0	
http://data.semanticweb.org/person/joerg-unbehauen	null	0.0	
http://data.semanticweb.org/person/lorand-dali	null	0.0	
http://data.semanticweb.org/person/michael-erdmann	null	0.0	
http://data.semanticweb.org/person/murat-kantarcioglu	null	0.0	
http://data.semanticweb.org/person/paul-r-alexander	null	0.0	
http://data.semanticweb.org/person/philip-stutz	null	0.0	
http://data.semanticweb.org/person/rolf-sint	null	0.0	
http://data.semanticweb.org/person/stuart-owen	null	0.0	
http://data.semanticweb.org/person/wei-hu	null	0.0	
http://data.semanticweb.org/person/zoi-kaoudi	null	0.0	
http://data.semanticweb.org/conference/iswc/2010/paper/135	null	0.0	
http://data.semanticweb.org/conference/iswc/2010/paper/192	null	0.0	
http://data.semanticweb.org/person/amit-sheth	null	0.0	
http://data.semanticweb.org/person/vinny-reynolds	null	0.0	
http://data.semanticweb.org/person/jeff-z-pan	null	0.0	
http://data.semanticweb.org/conference/iswc/2010/paper/401	null	0.0	
http://data.semanticweb.org/conference/iswc/2010/paper/428	null	0.0	
http://data.semanticweb.org/person/sergio-fernandez	null	0.0	
http://data.semanticweb.org/person/rob-styles	null	0.0	
http://data.semanticweb.org/person/ioan-toma	null	0.0	
http://data.semanticweb.org/person/martin-junghans	null	0.0	
http://data.semanticweb.org/conference/iswc/2010/paper/521	null	0.0	
http://data.semanticweb.org/conference/eswc/2006/paper/lukasiewicz-schellhase	null	0.0	
http://data.semanticweb.org/workshop/cold/2010/NikolovEtAlPaper	null	0.0	
http://data.semanticweb.org/person/wei-hu	null	0.0	
http://data.semanticweb.org/person/jeff-z-pan	null	0.0	
http://data.semanticweb.org/person/jing-mei	null	0.0	
http://data.semanticweb.org/person/andreas-filler	null	0.0	
http://data.semanticweb.org/person/benjamin-grosof	null	0.0	
http://data.semanticweb.org/person/stefano-soi	null	0.0	
http://data.semanticweb.org/person/michael-erdmann	null	0.0	
http://data.semanticweb.org/person/roberto-zanoli	null	0.0	
http://data.semanticweb.org/person/stefan-gradmann	null	0.0	
http://data.semanticweb.org/person/nicola-fanizzi	null	0.0	
http://data.semanticweb.org/conference/iswc/2010/paper/401	null	0.0	
http://data.semanticweb.org/conference/iswc-aswc/2007/tracks/research/papers/603	null	0.0	
http://data.semanticweb.org/person/eiichi-sunagawa	null	0.0	
http://data.semanticweb.org/person/amit-sheth	null	0.0	
http://data.semanticweb.org/person/raul-hudea	null	0.0	
http://data.semanticweb.org/conference/iswc-aswc/2007/tracks/research/papers/603	null	0.0	
http://data.semanticweb.org/conference/www/2008	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	0.0	
http://data.semanticweb.org/person/zoi-kaoudi	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	0.0	
http://data.semanticweb.org/conference/iswc/2010/paper/192	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	0.0	
http://data.semanticweb.org/person/jianfeng-du	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	0.0	
