entity	typeentity	diffentropy
http://zbw.eu/stw/descriptor/14182-5	null	0.0	
http://zbw.eu/stw/descriptor/18100-6	null	0.0	
http://zbw.eu/stw/descriptor/10803-5	null	0.0	
http://zbw.eu/stw/descriptor/11678-5	null	0.0	
http://zbw.eu/stw/descriptor/16545-6	null	0.0	
http://zbw.eu/stw/descriptor/14232-2	null	0.0	
http://zbw.eu/stw/descriptor/15441-2	null	0.0	
http://zbw.eu/stw/descriptor/19537-4	null	0.0	
http://zbw.eu/stw/descriptor/18174-5	null	0.0	
http://zbw.eu/stw/descriptor/10566-0	null	0.0	
http://zbw.eu/stw/descriptor/12863-5	null	0.0	
http://zbw.eu/stw/descriptor/29028-5	null	0.0	
http://zbw.eu/stw/descriptor/19074-4	null	0.0	
http://zbw.eu/stw/descriptor/10822-1	null	0.0	
http://zbw.eu/stw/descriptor/10329-0	null	0.0	
http://zbw.eu/stw/descriptor/16233-4	null	0.0	
http://zbw.eu/stw/descriptor/10822-1	null	0.0	
http://zbw.eu/stw/descriptor/18121-5	null	0.0	
http://zbw.eu/stw/descriptor/13691-3	null	0.0	
http://zbw.eu/stw/descriptor/16504-6	null	0.0	
http://zbw.eu/stw/descriptor/10590-3	null	0.0	
http://zbw.eu/stw/descriptor/11708-1	null	0.0	
http://zbw.eu/stw/descriptor/11042-1	null	0.0	
http://zbw.eu/stw/descriptor/12419-3	null	0.0	
http://zbw.eu/stw/descriptor/16160-5	null	0.0	
http://zbw.eu/stw/descriptor/19336-0	null	0.0	
http://zbw.eu/stw/descriptor/16048-6	null	0.0	
http://zbw.eu/stw/descriptor/11678-5	null	0.0	
http://zbw.eu/stw/descriptor/19768-6	null	0.0	
http://zbw.eu/stw/descriptor/13742-5	null	0.0	
http://zbw.eu/stw/descriptor/10042-6	null	0.0	
http://zbw.eu/stw/descriptor/27762-1	null	0.0	
http://zbw.eu/stw/descriptor/19689-2	null	0.0	
http://zbw.eu/stw/descriptor/17792-5	null	0.0	
http://zbw.eu/stw/descriptor/10966-5	null	0.0	
http://zbw.eu/stw/descriptor/10598-1	null	0.0	
http://zbw.eu/stw/descriptor/10566-0	null	0.0	
http://zbw.eu/stw/descriptor/12863-5	null	0.0	
http://zbw.eu/stw/descriptor/13777-0	null	0.0	
http://zbw.eu/stw/descriptor/18891-5	null	0.0	
http://zbw.eu/stw/descriptor/10956-1	null	0.0	
http://zbw.eu/stw/descriptor/10803-5	null	0.0	
http://zbw.eu/stw/descriptor/13248-6	null	0.0	
http://zbw.eu/stw/descriptor/11939-3	null	0.0	
http://zbw.eu/stw/descriptor/11181-1	null	0.0	
http://zbw.eu/stw/descriptor/18561-5	null	0.0	
http://zbw.eu/stw/descriptor/19587-3	null	0.0	
http://zbw.eu/stw/descriptor/12023-0	null	0.0	
http://zbw.eu/stw/descriptor/19358-4	null	0.0	
http://zbw.eu/stw/descriptor/18704-2	null	0.0	
http://zbw.eu/stw/descriptor/19537-4	null	0.0	
http://zbw.eu/stw/descriptor/20002-5	null	0.0	
http://zbw.eu/stw/descriptor/10215-1	null	0.0	
http://zbw.eu/stw/descriptor/15752-6	null	0.0	
http://zbw.eu/stw/descriptor/14940-3	null	0.0	
http://zbw.eu/stw/descriptor/13687-1	null	0.0	
http://zbw.eu/stw/descriptor/13253-6	null	0.0	
http://zbw.eu/stw/descriptor/19460-6	null	0.0	
http://zbw.eu/stw/descriptor/13534-5	null	0.0	
http://zbw.eu/stw/descriptor/24663-4	null	0.0	
http://zbw.eu/stw/descriptor/19689-2	null	0.0	
http://zbw.eu/stw/descriptor/13687-1	null	0.0	
http://zbw.eu/stw/descriptor/19587-3	null	0.0	
http://zbw.eu/stw/descriptor/24663-4	null	0.0	
http://zbw.eu/stw/descriptor/13777-0	null	0.0	
http://zbw.eu/stw/descriptor/12023-0	null	0.0	
http://zbw.eu/stw/descriptor/17792-5	null	0.0	
http://zbw.eu/stw/descriptor/10966-5	null	0.0	
http://zbw.eu/stw/descriptor/19358-4	null	0.0	
http://zbw.eu/stw/descriptor/16160-5	null	0.0	
http://zbw.eu/stw/descriptor/13777-0	null	0.0	
http://zbw.eu/stw/descriptor/14940-3	null	0.0	
http://zbw.eu/stw/descriptor/19336-0	null	0.0	
http://zbw.eu/stw/descriptor/16504-6	null	0.0	
http://zbw.eu/stw/descriptor/13742-5	null	0.0	
http://zbw.eu/stw/descriptor/11708-1	null	0.0	
http://zbw.eu/stw/descriptor/10590-3	null	0.0	
http://zbw.eu/stw/descriptor/18891-5	null	0.0	
http://zbw.eu/stw/descriptor/19358-4	null	0.0	
http://zbw.eu/stw/descriptor/19689-2	null	0.0	
http://zbw.eu/stw/descriptor/11042-1	null	0.0	
http://zbw.eu/stw/descriptor/10042-6	null	0.0	
http://zbw.eu/stw/descriptor/19768-6	null	0.0	
http://zbw.eu/stw/descriptor/18704-2	null	0.0	
http://zbw.eu/stw/descriptor/11633-6	null	0.0	
http://zbw.eu/stw/descriptor/29327-2	null	0.0	
http://zbw.eu/stw/descriptor/16370-1	null	0.0	
