entity	typeentity	desccardinality	descprimecardinality
http://data.semanticweb.org/conference/iswc/2010/paper/521	null	9	13	
http://data.semanticweb.org/person/enrico-franconi	null	21	22	
http://data.semanticweb.org/person/jianfeng-du	null	18	19	
http://data.semanticweb.org/person/jing-mei	null	21	22	
http://data.semanticweb.org/person/martin-junghans	null	11	12	
http://data.semanticweb.org/person/nicola-fanizzi	null	35	36	
http://data.semanticweb.org/person/paul-andre	null	12	13	
http://data.semanticweb.org/person/stefan-gradmann	null	12	13	
http://data.semanticweb.org/conference/iswc/2010/paper/387	null	10	14	
http://data.semanticweb.org/conference/iswc/2010/paper/514	null	14	18	
http://data.semanticweb.org/person/anni-yasmin-turhan	null	19	20	
http://data.semanticweb.org/conference/iswc/2010/paper/465	null	14	18	
http://data.semanticweb.org/person/andreas-filler	null	8	9	
http://data.semanticweb.org/person/benjamin-grosof	null	24	25	
http://data.semanticweb.org/person/cassia-trojahn	null	16	17	
http://data.semanticweb.org/person/finn-bacall	null	10	11	
http://data.semanticweb.org/person/jing-he	null	8	9	
http://data.semanticweb.org/person/joerg-unbehauen	null	20	21	
http://data.semanticweb.org/person/lorand-dali	null	10	11	
http://data.semanticweb.org/person/michael-erdmann	null	12	13	
http://data.semanticweb.org/person/murat-kantarcioglu	null	18	19	
http://data.semanticweb.org/person/paul-r-alexander	null	10	11	
http://data.semanticweb.org/person/philip-stutz	null	10	11	
http://data.semanticweb.org/person/rolf-sint	null	10	11	
http://data.semanticweb.org/person/stuart-owen	null	12	13	
http://data.semanticweb.org/person/wei-hu	null	33	34	
http://data.semanticweb.org/person/zoi-kaoudi	null	12	13	
http://data.semanticweb.org/conference/iswc/2010/paper/135	null	14	18	
http://data.semanticweb.org/conference/iswc/2010/paper/192	null	14	18	
http://data.semanticweb.org/person/amit-sheth	null	63	64	
http://data.semanticweb.org/person/vinny-reynolds	null	11	12	
http://data.semanticweb.org/person/jeff-z-pan	null	80	81	
http://data.semanticweb.org/conference/iswc/2010/paper/401	null	18	22	
