entity	typeentity	desccardinality	descprimecardinality
http://reegle.info/countries/MY	null	3	3	
http://reegle.info/countries/TL	null	3	3	
http://reegle.info/countries/TH	null	3	3	
http://reegle.info/countries/VN	null	3	3	
http://reegle.info/countries/KI	null	3	3	
http://reegle.info/countries/AO	null	3	3	
http://reegle.info/countries/WS	null	3	3	
http://reegle.info/countries/PG	null	3	3	
http://reegle.info/countries/SV	null	3	3	
http://reegle.info/countries/NR	null	3	3	
http://reegle.info/countries/LC	null	3	3	
http://reegle.info/countries/PW	null	3	3	
http://reegle.info/countries/PH	null	3	3	
http://reegle.info/countries/MQ	null	3	3	
http://reegle.info/countries/BS	null	3	3	
http://reegle.info/countries/NA	null	3	3	
http://reegle.info/countries/IN	null	3	3	
http://reegle.info/countries/SG	null	3	3	
http://reegle.info/countries/FM	null	3	3	
http://reegle.info/countries/TC	null	3	3	
http://reegle.info/countries/MZ	null	3	3	
http://reegle.info/countries/AT	null	3	3	
http://reegle.info/countries/FJ	null	3	3	
http://reegle.info/countries/US	null	3	3	
http://reegle.info/countries/GD	null	3	3	
http://reegle.info/countries/GP	null	3	3	
http://reegle.info/countries/AR	null	3	3	
http://reegle.info/countries/BR	null	3	3	
http://reegle.info/countries/PR	null	3	3	
http://reegle.info/countries/GP	null	3	3	
http://reegle.info/countries/PR	null	3	3	
http://reegle.info/countries/FM	null	3	3	
http://reegle.info/countries/PG	null	3	3	
http://reegle.info/countries/LC	null	3	3	
http://reegle.info/countries/SV	null	3	3	
http://reegle.info/countries/MQ	null	3	3	
http://reegle.info/countries/PW	null	3	3	
http://reegle.info/countries/AR	null	3	3	
http://reegle.info/countries/SG	null	3	3	
http://reegle.info/countries/TC	null	3	3	
http://reegle.info/countries/FJ	null	3	3	
http://reegle.info/countries/BR	null	3	3	
http://reegle.info/countries/AT	null	3	3	
http://reegle.info/countries/GD	null	3	3	
http://reegle.info/schema	null	0	8	
http://en.wikipedia.org/wiki/Reegle	null	0	1	
http://dbpedia.org/resource/Reegle	null	0	4	
