entity	typeentity	econncardinality	econnprimecardinality
http://data.semanticweb.org/conference/iswc/2010/paper/521	null	3	5	
http://data.semanticweb.org/person/enrico-franconi	null	10	11	
http://data.semanticweb.org/person/jianfeng-du	null	8	9	
http://data.semanticweb.org/person/jing-mei	null	11	12	
http://data.semanticweb.org/person/martin-junghans	null	4	5	
http://data.semanticweb.org/person/nicola-fanizzi	null	25	26	
http://data.semanticweb.org/person/paul-andre	null	4	5	
http://data.semanticweb.org/person/stefan-gradmann	null	4	5	
http://data.semanticweb.org/conference/iswc/2010/paper/387	null	3	5	
http://data.semanticweb.org/conference/iswc/2010/paper/514	null	4	6	
http://data.semanticweb.org/person/anni-yasmin-turhan	null	8	9	
http://data.semanticweb.org/conference/iswc/2010/paper/465	null	5	7	
http://data.semanticweb.org/person/andreas-filler	null	2	3	
http://data.semanticweb.org/person/benjamin-grosof	null	14	15	
http://data.semanticweb.org/person/cassia-trojahn	null	8	9	
http://data.semanticweb.org/person/finn-bacall	null	3	4	
http://data.semanticweb.org/person/jing-he	null	2	3	
http://data.semanticweb.org/person/joerg-unbehauen	null	8	9	
http://data.semanticweb.org/person/lorand-dali	null	3	4	
http://data.semanticweb.org/person/michael-erdmann	null	5	6	
http://data.semanticweb.org/person/murat-kantarcioglu	null	9	10	
http://data.semanticweb.org/person/paul-r-alexander	null	4	5	
http://data.semanticweb.org/person/philip-stutz	null	4	5	
http://data.semanticweb.org/person/rolf-sint	null	4	5	
http://data.semanticweb.org/person/stuart-owen	null	5	6	
http://data.semanticweb.org/person/wei-hu	null	21	22	
http://data.semanticweb.org/person/zoi-kaoudi	null	6	7	
http://data.semanticweb.org/conference/iswc/2010/paper/135	null	5	7	
http://data.semanticweb.org/conference/iswc/2010/paper/192	null	5	7	
http://data.semanticweb.org/person/amit-sheth	null	45	46	
http://data.semanticweb.org/person/vinny-reynolds	null	5	6	
http://data.semanticweb.org/person/jeff-z-pan	null	55	56	
http://data.semanticweb.org/conference/iswc/2010/paper/401	null	7	9	
http://data.semanticweb.org/conference/iswc/2010/paper/428	null	7	9	
http://data.semanticweb.org/person/sergio-fernandez	null	7	11	
http://data.semanticweb.org/person/rob-styles	null	2	3	
http://data.semanticweb.org/person/ioan-toma	null	16	17	
http://data.semanticweb.org/person/martin-junghans	null	4	5	
http://data.semanticweb.org/conference/iswc/2010/paper/521	null	3	5	
http://data.semanticweb.org/conference/eswc/2006/paper/lukasiewicz-schellhase	null	4	7	
http://data.semanticweb.org/workshop/cold/2010/NikolovEtAlPaper	null	3	5	
http://data.semanticweb.org/person/wei-hu	null	21	25	
http://data.semanticweb.org/person/jeff-z-pan	null	55	59	
http://data.semanticweb.org/person/jing-mei	null	11	14	
http://data.semanticweb.org/person/andreas-filler	null	2	3	
http://data.semanticweb.org/person/benjamin-grosof	null	14	15	
http://data.semanticweb.org/person/stefano-soi	null	3	4	
http://data.semanticweb.org/person/michael-erdmann	null	5	6	
http://data.semanticweb.org/person/roberto-zanoli	null	4	5	
http://data.semanticweb.org/person/stefan-gradmann	null	4	6	
http://data.semanticweb.org/person/nicola-fanizzi	null	25	27	
http://data.semanticweb.org/conference/iswc/2010/paper/401	null	7	9	
http://data.semanticweb.org/conference/iswc-aswc/2007/tracks/research/papers/603	null	4	10	
http://data.semanticweb.org/person/eiichi-sunagawa	null	4	6	
http://data.semanticweb.org/person/amit-sheth	null	45	48	
http://data.semanticweb.org/person/raul-hudea	null	3	4	
http://data.semanticweb.org/conference/iswc-aswc/2007/tracks/research/papers/603	null	4	10	
http://data.semanticweb.org/conference/www/2008	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	54	58	
http://data.semanticweb.org/person/zoi-kaoudi	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	6	9	
http://data.semanticweb.org/conference/iswc/2010/paper/192	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	5	7	
http://data.semanticweb.org/person/jianfeng-du	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	10	
http://data.semanticweb.org/conference/iswc/2010/paper/465	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	5	7	
http://data.semanticweb.org/person/cassia-trojahn	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	9	
http://data.semanticweb.org/organization/the-open-university	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	24	25	
http://data.semanticweb.org/person/kingsley-idehen	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	7	8	
http://data.semanticweb.org/organization/karlsruhe-institute-of-technology	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	44	45	
http://data.semanticweb.org/person/zhenzhen-kou	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	6	
http://data.semanticweb.org/person/stefan-tai	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/person/vinny-reynolds	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	5	6	
http://data.semanticweb.org/person/stuart-owen	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	5	6	
http://data.semanticweb.org/conference/iswc/2010/paper/428	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	7	9	
http://data.semanticweb.org/person/stefan-bischof	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	4	
http://data.semanticweb.org/person/paul-r-alexander	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	5	
http://data.semanticweb.org/person/pablo-cesare	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	1	2	
http://data.semanticweb.org/conference/iswc/2010/paper/387	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	5	
http://data.semanticweb.org/person/joerg-unbehauen	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	10	
http://data.semanticweb.org/person/rolf-sint	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	5	
http://data.semanticweb.org/workshop/semwiki/2010/paper/main/21	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	5	6	
http://data.semanticweb.org/person/holger-lausen	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	9	
http://data.semanticweb.org/person/enrico-franconi	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	10	11	
http://data.semanticweb.org/ns/swc/ontology#Place	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	0	1	
http://data.semanticweb.org/person/aleksandar-giljanovic	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/person/justin-leavesley	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/conference/iswc/2010/paper/514	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	6	
http://data.semanticweb.org/organization/universitaet-leipzig	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	54	57	
http://data.semanticweb.org/person/philip-stutz	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	5	
http://data.semanticweb.org/person/lorand-dali	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	4	
http://data.semanticweb.org/person/anni-yasmin-turhan	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	9	
http://data.semanticweb.org/person/jing-he	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/conference/iswc/2010/paper/135	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	5	7	
http://data.semanticweb.org/person/finn-bacall	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	4	
http://data.semanticweb.org/person/john-niekrasz	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/person/william-murdock	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	4	
http://data.semanticweb.org/person/murat-kantarcioglu	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	9	11	
http://data.semanticweb.org/person/paul-dantzig	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/ns/swc/ontology#Place	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	0	1	
http://data.semanticweb.org/person/kingsley-idehen	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	7	8	
http://data.semanticweb.org/person/ioan-toma	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	16	17	
http://data.semanticweb.org/person/rob-styles	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	4	
http://data.semanticweb.org/ns/swc/ontology#Place	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	0	1	
http://data.semanticweb.org/organization/sapienza-universita-di-roma	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
