dataset,,diffentropy
aemet,count,50.0
aemet,mean,0.7283007499855769
aemet,std,0.44380444775088534
aemet,min,0.0
aemet,25%,0.10375937481971098
aemet,50%,1.0
aemet,75%,1.0
aemet,max,1.0
bfs,count,1858.0
bfs,mean,1.4140479897233045
bfs,std,1.6461676089539847
bfs,min,0.0
bfs,25%,0.5997125414559563
bfs,50%,1.0
bfs,75%,1.0
bfs,max,6.845149754486503
bibbase,count,214.0
bibbase,mean,1.8384789618460389
bibbase,std,1.5745063861738817
bibbase,min,0.0
bibbase,25%,0.25
bibbase,50%,1.584962500721156
bibbase,75%,3.169925001442312
bibbase,max,4.857980995127571
bibsonomy,count,35637.0
bibsonomy,mean,0.5928028278316649
bibsonomy,std,0.09572402468419507
bibsonomy,min,0.0
bibsonomy,25%,0.5849625007211561
bibsonomy,50%,0.5849625007211561
bibsonomy,75%,0.5849625007211561
bibsonomy,max,2.787143960698142
bne,count,269.0
bne,mean,0.5063942489317308
bne,std,0.27432375775997664
bne,min,0.0
bne,25%,0.3219280948873622
bne,50%,0.5849625007211561
bne,75%,0.5849625007211561
bne,max,1.0
dnb,count,5588.0
dnb,mean,1.3665467442260169
dnb,std,0.9327677239679127
dnb,min,0.0
dnb,25%,0.4150374992788439
dnb,50%,1.521640636343319
dnb,75%,2.096367739167127
dnb,max,4.840563906222961
dwsmannheim,count,71.0
dwsmannheim,mean,0.7647707981491844
dwsmannheim,std,0.7686166761063555
dwsmannheim,min,0.12829773024044933
dwsmannheim,25%,0.5849625007211561
dwsmannheim,50%,0.5849625007211561
dwsmannheim,75%,0.5849625007211561
dwsmannheim,max,4.633209655696991
eurostat,count,977.0
eurostat,mean,1.6890496584400694
eurostat,std,1.2024366768801755
eurostat,min,0.0
eurostat,25%,1.0036322608328727
eurostat,50%,1.0036322608328727
eurostat,75%,1.874469117916142
eurostat,max,7.204288752115245
eye48,count,3.0
eye48,mean,0.5
eye48,std,0.8660254037844386
eye48,min,0.0
eye48,25%,0.0
eye48,50%,0.0
eye48,75%,0.75
eye48,max,1.5
fao,count,13.0
fao,mean,0.6703075581339747
fao,std,0.4710677044825202
fao,min,0.0
fao,25%,0.19264507794239805
fao,50%,1.0
fao,75%,1.0
fao,max,1.3219280948873622
geovocab,count,7679.0
geovocab,mean,1.3837913006416986
geovocab,std,1.2561061785061247
geovocab,min,0.0
geovocab,25%,0.0
geovocab,50%,1.0
geovocab,75%,2.5849625007211556
geovocab,max,9.57815738105451
govwild,count,1.0
govwild,mean,0.0
govwild,std,
govwild,min,0.0
govwild,25%,0.0
govwild,50%,0.0
govwild,75%,0.0
govwild,max,0.0
harth,count,101.0
harth,mean,1.8927110250980357
harth,std,2.0153201060200607
harth,min,0.0
harth,25%,0.0
harth,50%,1.0
harth,75%,3.7004397181410926
harth,max,6.442943495848724
icane,count,27.0
icane,mean,1.5419481146255896
icane,std,2.4329021228174152
icane,min,0.0
icane,25%,0.0
icane,50%,0.0
icane,75%,2.0
icane,max,6.878631245182973
imf,count,247.0
imf,mean,1.5130306512342129
imf,std,1.7699746602317026
imf,min,0.0
imf,25%,0.5997125414559563
imf,50%,1.0
imf,75%,1.0
imf,max,7.548220761596976
korrekt,count,7944.0
korrekt,mean,0.22958840719656962
korrekt,std,0.2287095643199421
korrekt,min,0.0
korrekt,25%,0.06711419585853484
korrekt,50%,0.09953567355091232
korrekt,75%,0.5849625007211561
korrekt,max,0.5849625007211561
l3s,count,1660.0
l3s,mean,0.5221785565492588
l3s,std,0.18776107048216983
l3s,min,0.0
l3s,25%,0.3963677391671268
l3s,50%,0.4719280948873626
l3s,75%,0.5817041659455107
l3s,max,1.0036322608328727
linkedgeodata,count,535.0
linkedgeodata,mean,2.9596442831755745
linkedgeodata,std,2.485490813552582
linkedgeodata,min,0.0
linkedgeodata,25%,0.5849625007211561
linkedgeodata,50%,3.556088322639177
linkedgeodata,75%,4.795369543764403
linkedgeodata,max,7.797984704576244
ndljp,count,1.0
ndljp,mean,0.5849625007211561
ndljp,std,
ndljp,min,0.5849625007211561
ndljp,25%,0.5849625007211561
ndljp,50%,0.5849625007211561
ndljp,75%,0.5849625007211561
ndljp,max,0.5849625007211561
ontologi,count,738.0
ontologi,mean,0.12724872942539264
ontologi,std,0.13362300127331272
ontologi,min,0.0
ontologi,25%,0.0038116139499546615
ontologi,50%,0.19770277922009005
ontologi,75%,0.2283593636566814
ontologi,max,1.0
openei,count,4.0
openei,mean,0.04719016077075322
openei,std,0.013514070409101304
openei,min,0.03548663248793904
openei,25%,0.03548663248794037
openei,50%,0.047190160770753664
openei,75%,0.05889368905356651
openei,max,0.05889368905356651
reegle,count,242.0
reegle,mean,3.320090311530415
reegle,std,3.287974391351987
reegle,min,0.0
reegle,25%,1.0
reegle,50%,1.0
reegle,75%,7.560560537569284
reegle,max,8.204295107185384
revyu,count,42530.0
revyu,mean,0.3342179246043053
revyu,std,0.39242687140031773
